id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
12532,Women,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,Puma Women Solid Black Jackets
3469,Unisex,Accessories,Headwear,Headband,Black,Fall,2010.0,Sports,ADIDAS Unisex Black White Headband
24742,Women,Accessories,Bags,Handbags,Green,Winter,2015.0,Casual,Murcia Women Casual Handbag
28477,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Urban Yoga Women Printed Purple Kurta
9966,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women As Statement White T-Shirts
58208,Men,Accessories,Belts,Belts,Brown,Summer,2013.0,Casual,New Hide Men Brown Belt
30591,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Sports,Nike Unisex Federer Blue Cap
45627,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Park Avenue Men Grey Briefs
50468,Men,Apparel,Innerwear,Trunk,Grey Melange,Winter,2016.0,Casual,Chromozome Men Grey Melange Trunks
51797,Women,Apparel,Loungewear and Nightwear,Nightdress,Turquoise Blue,Summer,2016.0,Casual,Bwitch Turquiose Blue Nightdress
31221,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Casual,Puma Women Black Capris
46949,Women,Personal Care,Fragrance,Perfume and Body Mist,Peach,Spring,2017.0,Casual,York Women Amazing Perfume
26608,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Men Faas 800 Black Sports Shoes
14859,Women,Accessories,Wallets,Wallets,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Wallets
26384,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Turtle Men Black Trousers
44958,Women,Personal Care,Fragrance,Deodorant,Red,Spring,2017.0,Casual,Fogg Women Radiate Deo
43065,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Grey Striped T-shirt
48981,Women,Accessories,Jewellery,Ring,Silver,Fall,2012.0,Casual,Lucera Women Silver Ring
42002,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Gini and Jony Girls Kinky Pink Capris
45768,Women,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,Lomani Women Deo
55384,Women,Personal Care,Nails,Nail Polish,Purple,Spring,2017.0,Casual,Revlon Plum Deluxe Nail Enamel 315
31715,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings
3125,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Inkfruit Men's Star War Black T-shirt
39174,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Aneri Women Blue Printed Kurta
53376,Women,Accessories,Wallets,Wallets,White,Summer,2012.0,Casual,Puma Women White Ferrari Wallet
21885,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,BIBA Women Printed Green Kurta
29865,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Mayhem Men Aviator Sunglasses 1024-209
30463,Women,Apparel,Innerwear,Bra,Pink,Summer,2014.0,Casual,Lovable Women All Day Long Pink Bra
4355,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Batman Men's Batman Applique Shei Grey T-shirt
49752,Men,Accessories,Ties,Ties,Lavender,Summer,2012.0,Formal,Parx Men Lavender Tie
39742,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2012.0,Casual,Arrow Men Red Shoes
26300,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Proline Men Blue Striped Polo T-shirt
35937,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Salomon Men Techamphibian 3 Black Sports Shoes
25105,Women,Accessories,Belts,Belts,Black,Winter,2015.0,Casual,Lino Perros Women Black Belt
42938,Men,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,French Connection Men Black Bag
21259,Unisex,Accessories,Bags,Backpacks,Black,Summer,2015.0,Casual,Skybags Unisex Black Bern Backpack
32766,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,John Miller Men Striped White Shirt
10305,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Clarks Men Rocco Fuse Brown Casual Shoes
24868,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Reid & Taylor Men Casual Black Wallet
5848,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Puma Men's Summer Graphic Grey T-shirt
19077,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,W Women Round Bottom Red Kurta
40139,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Gini and JonyBoys Around The World Navy Blue T-shirt
38609,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Printed Blue T-shirt
51424,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Myntra Men White Shirt
4300,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Tantra Men's Guitar Gods Green T-shirt
32619,Men,Apparel,Topwear,Tshirts,Black,Spring,2014.0,Sports,Nike Men Legend Poly Black T-shirt
43063,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Nike Men Red Portugal Football T-shirt
43217,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Black Dial Watch
59777,Women,Accessories,Jewellery,Bracelet,Gold,Winter,2016.0,Casual,Estelle Women Gold Bracelet
44253,Women,Accessories,Wallets,Wallets,Black,Fall,2012.0,Casual,Hidekraft Women Black Leather Wallet
42920,Women,Accessories,Wallets,Wallets,Grey,Summer,2012.0,Casual,French Connection Women Grey Wallet
31619,Men,Apparel,Topwear,Shirts,Maroon,Summer,2012.0,Formal,Indigo Nation Men Maroon Shirt
29892,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Mayhem Women Sunglasses 1012-102
17695,Men,Footwear,Shoes,Casual Shoes,Maroon,Fall,2011.0,Casual,Vans Men Authentic Maroon Casual Shoes
6894,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,Forever New Women Floral Multiprint White Top
9042,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2011.0,Formal,Buckaroo Men Moles Brown Formal Shoes
6187,Women,Footwear,Flip Flops,Flip Flops,Green,Summer,2011.0,Casual,ADIDAS Women's Young Lives Green Flip Flop
21526,Women,Accessories,Bags,Handbags,Red,Winter,2015.0,Casual,Kiara Women Glossy Red Handbag
51596,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Wrangler Women Black Molly Jeans
56583,Women,Personal Care,Makeup,Highlighter and Blush,Skin,Spring,2017.0,,Streetwear Crystal Shine Face Brightener
57264,Women,Free Items,Free Gifts,Free Gifts,Black,Summer,2015.0,Casual,Murcia Women Black Handbag
25933,Women,Accessories,Scarves,Scarves,Brown,Summer,2012.0,Casual,Femella Women Brown Scarf
25449,Women,Footwear,Flip Flops,Flip Flops,Green,Summer,2012.0,Casual,Nike Women Snapper Thong Flip Flop
7909,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Proline Men Navy & Cream Striped Polo T-shirt
48118,Women,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Fossil Women Brown Sasha Belt
48636,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Women Silver Earrings
37694,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,American Tourister Unisex Black Backpack
50992,Women,Apparel,Loungewear and Nightwear,Nightdress,Beige,Summer,2017.0,Casual,Enamor Women Beige Nightdress
12598,Unisex,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Tantra Unisex Printed Orange Tshirts
40428,Women,Apparel,Bottomwear,Skirts,Grey,Summer,2012.0,Formal,Tonga Women Grey Formal Skirt
18499,Men,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011.0,Casual,Puma Men Striped Navy Blue Sweater
